"BUYER_STATE","BUYER_COUNTY","MONTH_NUM","YEAR_NUM","TOTAL_PILLS"
"KY","ANDERSON","10","2008","97380"
"KY","ANDERSON","11","2008","91900"
"KY","ANDERSON","12","2008","111870"
"KY","ANDERSON","1","2009","91920"
"KY","ANDERSON","2","2009","93590"
"KY","ANDERSON","3","2009","114950"
"KY","ANDERSON","4","2009","98050"
"KY","ANDERSON","5","2009","87820"
"KY","ANDERSON","6","2009","105040"
"KY","ANDERSON","7","2009","99680"
"KY","ANDERSON","8","2009","93480"
"KY","ANDERSON","9","2009","98440"
"KY","ANDERSON","10","2009","104650"
"KY","ANDERSON","11","2009","92110"
"KY","ANDERSON","12","2009","100380"
"KY","ANDERSON","1","2010","89440"
"KY","ANDERSON","2","2010","78140"
"KY","ANDERSON","3","2010","99640"
"KY","ANDERSON","4","2010","104080"
"KY","ANDERSON","5","2010","95310"
"KY","ANDERSON","6","2010","94540"
"KY","ANDERSON","7","2010","101170"
"KY","ANDERSON","8","2010","98030"
"KY","ANDERSON","9","2010","111040"

